Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
01/13/2025,"DIVIDEND RECEIVED as of Jan-10-2025 AGNC INVT CORP COM (AGNC) (Cash)",AGNC,"AGNC INVT CORP COM",Cash,,0.000,,,,131.9,132.80,
01/02/2025,"REINVESTMENT ENERGY SVCS ACQUISITION CORP COM (ESOA) (Cash)",ESOA,"ENERGY SVCS ACQUISITION CORP COM",Cash,12.63,0.713,,,,-9,0.90,
01/02/2025,"DIVIDEND RECEIVED ENERGY SVCS ACQUISITION CORP COM (ESOA) (Cash)",ESOA,"ENERGY SVCS ACQUISITION CORP COM",Cash,,0.000,,,,9,9.90,
12/31/2024,"REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,1,0.01,,,,-0.01,0.90,
12/31/2024,"DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,,0.000,,,,0.01,0.90,
12/30/2024,"REINVESTMENT ARES CAPITAL CORP COM (ARCC) (Cash)",ARCC,"ARES CAPITAL CORP COM",Cash,21.99,10.122,,,,-222.62,0.89,
12/30/2024,"DIVIDEND RECEIVED ARES CAPITAL CORP COM (ARCC) (Cash)",ARCC,"ARES CAPITAL CORP COM",Cash,,0.000,,,,222.62,223.51,
12/10/2024,"REINVESTMENT AGNC INVT CORP COM (AGNC) (Cash)",AGNC,"AGNC INVT CORP COM",Cash,9.71,9.516,,,,-92.41,0.00,
12/10/2024,"DIVIDEND RECEIVED AGNC INVT CORP COM (AGNC) (Cash)",AGNC,"AGNC INVT CORP COM",Cash,,0.000,,,,92.41,92.41,
12/02/2024,"DIVIDEND RECEIVED FORD MTR CO DEL COM (F) (Cash)",F,"FORD MTR CO DEL COM",Cash,,0.000,,,,45,0.00,
11/29/2024,"REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,1,1.92,,,,-1.92,1.93,
11/29/2024,"DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,,0.000,,,,1.92,1.93,
11/07/2024,"DIVIDEND RECEIVED as of Nov-06-2024 BRITISH AMERICAN TOBACCO LVL II ADR ... (BTI) (Cash)",BTI,"BRITISH AMERICAN TOBACCO LVL II ADR EAC",Cash,,0.000,,,,314.98,2422.14,
10/31/2024,"REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,1,1.66,,,,-1.66,1.69,
10/31/2024,"DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,,0.000,,,,1.66,1.69,
09/30/2024,"REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,1,0.01,,,,-0.01,0.12,
09/30/2024,"DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,,0.000,,,,0.01,0.12,
08/30/2024,"REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,1,0.01,,,,-0.01,1.78,
08/30/2024,"DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,,0.000,,,,0.01,1.78,
08/09/2024,"REINVESTMENT as of Aug-07-2024 BRITISH AMERICAN TOBACCO LVL II ADR ... (BTI) (Cash)",BTI,"BRITISH AMERICAN TOBACCO LVL II ADR EAC",Cash,35.86,8.391,,,,-300.9,1.77,
08/09/2024,"DIVIDEND RECEIVED as of Aug-07-2024 BRITISH AMERICAN TOBACCO LVL II ADR ... (BTI) (Cash)",BTI,"BRITISH AMERICAN TOBACCO LVL II ADR EAC",Cash,,0.000,,,,304.95,306.72,
07/31/2024,"REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,1,0.01,,,,-0.01,1.77,
07/31/2024,"DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,,0.000,,,,0.01,1.77,
06/28/2024,"REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,1,0.01,,,,-0.01,1.76,
06/28/2024,"DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,,0.000,,,,0.01,1.76,
05/31/2024,"REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,1,0.01,,,,-0.01,1.75,
05/31/2024,"DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,,0.000,,,,0.01,1.75,

