Symbol(CUSIP),Security description,Date acquired,Date sold,Quantity,Cost basis,Proceeds,Short-term gain/loss,Long-term gain/loss
AGNC250620C9(7441759PN),CALL (AGNC) AGNC INVT CORP COM JUN 20 25 $9 (100 SHS),2025-05-21,2025-05-19,18,$306.53,$437.77, --,$131.24,
AGNC250711C9(7925489NN),CALL (AGNC) AGNC INVT CORP COM JUL 11 25 $9 (100 SHS),2025-06-13,2025-06-05,20,$780.59,$546.41, --, -$234.18,
AGNC250919C10(7590119GC),CALL (AGNC) AGNC INVT CORP COM SEP 19 25 $10 (100 SHS),2025-09-03,2025-08-28,10,$90.23,$66.25, --, -$23.98,
AGNC250919C10(7590119GC),CALL (AGNC) AGNC INVT CORP COM SEP 19 25 $10 (100 SHS),2025-09-03,2025-08-28,10,$90.23,$66.26, --, -$23.97,
AGNC250919C10(7590119GC),CALL (AGNC) AGNC INVT CORP COM SEP 19 25 $10 (100 SHS),2025-09-03,2025-08-28,10,$90.23,$66.26, --, -$23.97,
ARCC(04010L103),ARES CAPITAL CORP COM,2024-12-27,2025-02-07,0.487,$0.00,$11.04, --,$11.04,
ARCC(04010L103),ARES CAPITAL CORP COM,2024-12-27,2025-02-07,9.635,$0.00,$218.37, --,$218.37,
ARCC(04010L103),ARES CAPITAL CORP COM,2024-11-11,2025-02-07,116.365,"$2,508.83","$2,637.37", --,$128.54,
ARCC(04010L103),ARES CAPITAL CORP COM,2024-11-11,2025-02-03,0.385,$8.30,$9.15, --,$0.85,
ARCC(04010L103),ARES CAPITAL CORP COM,2024-11-11,2025-02-03,210,"$4,527.60","$4,990.70", --,$463.10,
ARCC(04010L103),ARES CAPITAL CORP COM,2024-11-11,2024-12-26,0.048,$1.03,$1.05, --,$0.02,
ARCC(04010L103),ARES CAPITAL CORP COM,2024-11-11,2024-12-26,100,"$2,156.50","$2,188.93", --,$32.43,
ARCC(04010L103),ARES CAPITAL CORP COM,2024-11-11,2024-12-26,36.202,$780.52,$792.44, --,$11.92,
ARCC(04010L103),ARES CAPITAL CORP COM,2024-11-11,2024-12-26,0.798,$17.21,$17.47, --,$0.26,
BAC251010P49(8106149OI),PUT (BAC) BANK AMERICA CORP OCT 10 25 $49 (100 SHS),2025-09-10,2025-09-09,6,$412.04,$433.96, --,$21.92,
